"GEOID","NAME","year","totalpopE","whiteE","whiteM","blackE","blackM","asianE","asianM","indigE","indigM","othraceE","othraceM","multiE","multiM","ltnxE","ltnxM","totalpopM","hhincE","hhincM","earnE","earnM","vachseE","vachseM","allhseE","allhseM","renter30E","renter30M","homeownE","homeownM","vacrateE","vacrateM","hsmoreE","hsmoreM","bamoreE","bamoreM","gradmoreE","gradmoreM","unempE","unempM","hlthinsE","hlthinsM","pubinsE","pubinsM","age17E","age17M","age24E","age24M","age64E","age64M","age65E","age65M","perc_cUnder20minE","perc_cUnder20minM","perc_c20to34minE","perc_c20to34minM","perc_c35to59minE","perc_c35to59minM","perc_cOver60minE","perc_cOver60minM","state","locality","tract","blockgroup"
"515400008004","Block Group 4, Census Tract 8, Charlottesville city, Virginia","2019",1716,35.72,4.32,19.23,7.36,9.27,7.53,0,0.7,0,0.7,4.25,4.03,31.53,16.78,381,40294,19828,22214,4186,9,15,693,111,60.3,19,17.1,7.7,1.3,2.2,83.38,9.43,32.77,8.02,15.01,6.75,1.03,1.64,77.86,7.49,20.34,8.2,21.5,6.46,2.39,3.04,65.5,19.4,10.02,3.69,66.77,324.87,20.83,102.01,11,54.22,1.39,7.08,"51","540","000800","4"
"515400005012","Block Group 2, Census Tract 5.01, Charlottesville city, Virginia","2019",827,39.18,10.9,48.49,24.61,8.34,11.78,0,1.45,0,1.45,0,1.45,3.99,6.03,270,69120,11874,NA,NA,16,25,269,56,21.9,27.2,54.9,22,5.9,9.2,81.54,15.67,45.19,13.97,22.5,12.39,8.15,8.48,91.78,6.38,23.22,13.21,19.59,9.26,17.53,11.21,55.86,23.98,5.68,3.7,58.06,532.81,34.27,315.05,2.42,22.45,5.24,48.46,"51","540","000501","2"
"515400005013","Block Group 3, Census Tract 5.01, Charlottesville city, Virginia","2019",1789,35.27,9.83,45.39,17.08,1.96,1.44,0,0.67,0,0.67,4.47,4.98,12.91,12.4,407,44778,11287,34583,2881,0,12,578,132,64,25,43.3,12.7,0,2.1,83.19,8.31,18.94,6.66,8.36,4.65,5.39,5.73,81.16,10.68,16.04,7.73,27.22,9.79,7.27,5.72,53.72,17.19,11.35,6.26,71.71,536.83,19.74,148.01,3.12,23.78,5.43,41.15,"51","540","000501","3"
"515400005011","Block Group 1, Census Tract 5.01, Charlottesville city, Virginia","2019",1462,30.85,5.22,48.15,16.01,12.52,9.25,0,0.82,0,0.82,3.63,3.38,4.86,4.86,345,25000,18202,32076,7192,121,72,745,106,56.3,15.9,20,9.2,16.2,9.4,83.51,1.21,40,5.96,17.06,5.1,6.15,6.4,83.11,10.2,29.14,8.5,24.08,9.56,3.76,2.8,62.52,19.28,7.93,4.52,70.2,483.22,18.15,125.3,7.56,53.14,4.08,28.84,"51","540","000501","1"
"515400007003","Block Group 3, Census Tract 7, Charlottesville city, Virginia","2019",904,68.92,8.06,7.41,6.73,17.7,10.85,0,1.33,0,1.33,3.1,2.94,2.88,2.61,158,NA,NA,18125,12258,34,34,430,95,49.2,11.1,0,3,7.9,7.7,100,39.64,97.72,39,34.23,14.08,0,4.56,96.79,3.65,4.65,4.61,4.98,4.39,41.7,11.17,53.32,13.61,0,1.33,67.86,1102.32,17.86,290.36,10.71,174.19,3.57,58.28,"51","540","000700","3"
"515400007004","Block Group 4, Census Tract 7, Charlottesville city, Virginia","2019",1004,69.82,7.45,3.98,3.78,15.14,8.08,0,1.2,0,1.2,4.78,5.27,6.27,2.97,225,122639,48356,NA,NA,28,26,259,52,46.3,20.8,47.6,12.7,10.8,9.8,100,14.6,92.17,15.4,61.88,17.16,2.63,4.96,94.42,5.25,1.29,1.81,5.88,4.38,55.98,9.32,28.59,5.74,8.07,4.09,87.46,1246.99,10.03,143.26,2.51,36.25,0,3.76,"51","540","000700","4"
"515400007002","Block Group 2, Census Tract 7, Charlottesville city, Virginia","2019",1674,81.24,8.39,1.91,1.41,12.49,5.62,1.85,2.68,0,0.72,1.02,1.19,1.49,1.12,218,103906,73036,12409,6818,118,82,663,89,91.3,24.6,68.4,0.9,17.8,12.1,98.16,15.82,81.23,13.79,51.31,12.24,8.09,6.5,95.16,3.41,5.26,3.27,19.47,5.41,35.01,7.49,32.26,6.55,13.26,3.92,77.87,589.54,19.13,145.15,1.33,10.46,1.66,12.83,"51","540","000700","2"
"515400007001","Block Group 1, Census Tract 7, Charlottesville city, Virginia","2019",1067,96.44,17.31,2.91,4.76,0,1.12,0,1.12,0,1.12,0,1.12,0.66,1.22,140,106932,29841,55515,14145,32,51,505,74,19.8,19.3,72.3,11.5,6.3,10.1,98.64,13.42,86.44,13.02,54.38,11.88,1.73,2,94.38,4.12,4.31,3.9,22.21,7.44,1.78,1.96,60.73,8.43,13.68,6.55,75.97,557.35,22.9,168.28,1.13,8.72,0,1.94,"51","540","000700","1"
"510030110002","Block Group 2, Census Tract 110, Albemarle County, Virginia","2019",1254,83.73,33.47,0.24,0.55,0.24,0.55,0,0.96,0,0.96,0.16,0.32,15.63,19.1,360,126542,52519,NA,NA,0,12,485,91,38.9,37,73,7.2,0,2.5,89.13,32.64,70.62,27.23,38.33,7.23,2.46,3.7,83.73,13.22,7.26,5.57,18.42,7.89,2.31,2.11,44.98,10.14,29.9,2.84,78.9,636.85,14.01,113.48,4.96,40.44,2.13,17.48,"51","003","011000","2"
"510030101001","Block Group 1, Census Tract 101, Albemarle County, Virginia","2019",1968,95.38,4.06,2.49,2.23,0,0.61,0,0.61,0,0.61,0.97,1.41,1.17,1.86,412,94286,31851,46477,10077,0,12,862,159,21.3,41,89.7,9.9,0,1.4,90.66,4.63,38.34,9.71,14.76,7.08,1.34,2.17,90.9,7.35,11.23,6.21,14.94,4.69,7.27,4.13,40.4,4.8,35.01,8.86,30.28,180.91,45.35,270.97,20.18,121.05,4.19,25.46,"51","003","010100","1"
