"GEOID","year","STATEFP","COUNTYFP","NAMELSAD","June_AvgMaxTF","July_AvgMaxTF","Aug_AvgMaxTF","AvgAnnMaxTF","TotpercInch"
"51003","1980","51","003","Albemarle County",82.61,89.09,88.34,66.73,36.17
"51003","1981","51","003","Albemarle County",85.41,85.08,83.2,65.99,38.77
"51003","1982","51","003","Albemarle County",79.71,85.64,82.05,66.21,43.59
"51003","1983","51","003","Albemarle County",82.82,89.89,89.26,66.38,52.46
"51003","1984","51","003","Albemarle County",86.22,83.12,84.36,66.96,52.75
"51003","1985","51","003","Albemarle County",81.83,85.08,82.72,67.42,50.84
"51003","1986","51","003","Albemarle County",86.28,89.46,81.57,67.26,36.66
"51003","1987","51","003","Albemarle County",85.32,90.43,87.64,66.89,50.11
"51003","1988","51","003","Albemarle County",83.25,88.84,87.9,65.97,35.5
"51003","1989","51","003","Albemarle County",83.15,84.05,81.27,65.11,56.27
"51003","1990","51","003","Albemarle County",83.13,87.31,82.72,69.06,48.36
"51003","1991","51","003","Albemarle County",84.07,86.14,84.76,68.63,42.34
"51003","1992","51","003","Albemarle County",78.44,86.82,80.8,65.12,48.81
"51003","1993","51","003","Albemarle County",83.79,89.94,87.33,66.27,49.16
"51003","1994","51","003","Albemarle County",85.5,86.13,82.09,66.8,48.61
"51003","1995","51","003","Albemarle County",80.02,87.46,86.9,65.9,51.3
"51003","1996","51","003","Albemarle County",84.2,83.6,82.58,64.64,58.36
"51003","1997","51","003","Albemarle County",80.9,87.45,84.03,66.01,42.46
"51003","1998","51","003","Albemarle County",81.69,86.93,87,68.8,49.17
"51003","1999","51","003","Albemarle County",82.71,90.82,86.84,68.38,43.88
"51003","2000","51","003","Albemarle County",83.46,82.4,82.64,66.39,39.16
"51003","2001","51","003","Albemarle County",83.29,83.35,86.37,68.05,33.63
"51003","2002","51","003","Albemarle County",86.58,87.99,88.27,68.1,40.82
"51003","2003","51","003","Albemarle County",79.49,84.49,85.58,65.22,71.81
"51003","2004","51","003","Albemarle County",80.64,84.56,82.8,66.5,51.66
"51003","2005","51","003","Albemarle County",83.78,87.01,86.74,66.85,44.21
"51003","2006","51","003","Albemarle County",82.49,87.57,88.19,68.37,47.36
"51003","2007","51","003","Albemarle County",82.66,85.36,88,67.78,34.32
"51003","2008","51","003","Albemarle County",86.49,86.73,84.34,66.53,41.63
"51003","2009","51","003","Albemarle County",81.48,81.71,85.07,65.01,49.85
"51003","2010","51","003","Albemarle County",87.38,90.35,86.26,67.27,41.57
"51003","2011","51","003","Albemarle County",84.61,89.58,85.64,67.79,55.13
"51003","2012","51","003","Albemarle County",82.54,90.4,84.68,68.78,39.01
"51003","2013","51","003","Albemarle County",81.88,84.53,80.76,65.17,54.97
"51003","2014","51","003","Albemarle County",83.47,84.02,80.95,64.9,46.2
"51003","2015","51","003","Albemarle County",82.9,84.76,84.23,67.01,50.52
"51003","2016","51","003","Albemarle County",83.03,88.43,87.1,67.84,43.77
"51003","2017","51","003","Albemarle County",82.8,88.18,83.12,68,39.19
"51003","2018","51","003","Albemarle County",82.2,84.89,85.17,66.09,74.77
"51003","2019","51","003","Albemarle County",81.54,88.28,85.85,67.92,46.04
"51003","2020","51","003","Albemarle County",82.32,90.05,83.95,67.78,63.29
"51065","1980","51","065","Fluvanna County",84,90.28,90.18,68.07,33.67
"51065","1981","51","065","Fluvanna County",87.03,86.64,83.87,67.31,34.75
"51065","1982","51","065","Fluvanna County",80.87,86.79,83.3,67.4,42.39
"51065","1983","51","065","Fluvanna County",84.24,91.25,91.08,67.99,48.52
"51065","1984","51","065","Fluvanna County",87.45,84.77,86.05,68.49,48.24
"51065","1985","51","065","Fluvanna County",83.54,86.75,84.2,69.11,47.32
"51065","1986","51","065","Fluvanna County",87.85,90.72,82.33,68.45,35.78
"51065","1987","51","065","Fluvanna County",86.07,91.29,88.47,68.01,49.38
"51065","1988","51","065","Fluvanna County",84.24,89.39,88.29,66.82,34.74
"51065","1989","51","065","Fluvanna County",84.49,84.95,81.93,66.16,53.69
"51065","1990","51","065","Fluvanna County",84.14,88.05,83.98,70.1,44.6
"51065","1991","51","065","Fluvanna County",85.29,86.97,85.76,69.71,41.06
"51065","1992","51","065","Fluvanna County",79.85,88.23,82.1,66.54,43.05
"51065","1993","51","065","Fluvanna County",84.94,91.34,88.45,67.67,50.06
"51065","1994","51","065","Fluvanna County",86.61,87.84,83.8,68.29,47.8
"51065","1995","51","065","Fluvanna County",81.57,89.09,88.52,67.56,47.09
"51065","1996","51","065","Fluvanna County",86.01,85.6,84.3,66.3,56.05
"51065","1997","51","065","Fluvanna County",82.5,88.7,85.84,67.73,39.91
"51065","1998","51","065","Fluvanna County",83.49,88.85,89.24,70.66,44.39
"51065","1999","51","065","Fluvanna County",84.13,92.04,88.51,70.06,41.31
"51065","2000","51","065","Fluvanna County",84.9,84.01,84.58,68.16,36.74
"51065","2001","51","065","Fluvanna County",85.17,85.22,88.4,69.96,31.34
"51065","2002","51","065","Fluvanna County",88.75,90.19,90.29,70.11,42.11
"51065","2003","51","065","Fluvanna County",81.27,86.22,87.52,67.08,66.54
"51065","2004","51","065","Fluvanna County",82.25,86.08,83.85,68.09,46.33
"51065","2005","51","065","Fluvanna County",85.34,88.8,88.38,68.65,42.66
"51065","2006","51","065","Fluvanna County",83.86,89.38,89.86,70.12,46.74
"51065","2007","51","065","Fluvanna County",84.25,87.34,89.41,69.76,34.3
"51065","2008","51","065","Fluvanna County",88.69,88.85,86.59,68.62,40.22
"51065","2009","51","065","Fluvanna County",83.44,84.09,87.3,67.05,49.6
"51065","2010","51","065","Fluvanna County",88.65,91.77,87.47,68.82,38.9
"51065","2011","51","065","Fluvanna County",86,90.58,87.14,69.39,52.99
"51065","2012","51","065","Fluvanna County",84.27,92.36,86.56,70.58,36.33
"51065","2013","51","065","Fluvanna County",83.75,86.47,82.42,66.93,55.15
"51065","2014","51","065","Fluvanna County",85.24,86.28,82.66,66.76,45.74
"51065","2015","51","065","Fluvanna County",84.54,86.41,85.88,68.74,48.86
"51065","2016","51","065","Fluvanna County",84.61,90,88.44,69.39,42.58
"51065","2017","51","065","Fluvanna County",83.6,89.45,84.4,69.27,38.19
"51065","2018","51","065","Fluvanna County",83.04,85.38,86.17,67.26,72.15
"51065","2019","51","065","Fluvanna County",82.31,89.03,86.87,69.06,43.84
