censusTract,n,sumAmountPaidOnBuildingClaim,sumBuildingInsuranceCoverage,avgAmountPaidOnBuildingClaim,avgBuildingInsuranceCoverage,sumAmountPaidOnContentsClaim,sumContentsInsuranceCoverage
51003010100,1,5990.52,250000,5990.52,250000,0,100000
51003010201,1,4216.12,250000,4216.12,250000,0,100000
51003010402,2,0,500000,NA,250000,0,200000
51003010500,2,18406.49,450000,9203.245,225000,0,180000
51003011000,8,140550.66,1355000,23425.11,169375,8158.53,342000
51003011202,4,1858.03,696800,929.015,174200,3029.18,143500
51003011400,1,10638.64,250000,10638.64,250000,0,0
51065020102,1,8539.68,30000,8539.68,30000,0,12000
51079030101,7,50250.36,1012500,12562.59,144642.85714285713,2488.8,373000
51079030102,9,159040.36000000002,960000,17671.15111111111,106666.66666666667,0,80000
51109950100,1,0,250000,NA,250000,0,100000
51109950400,1,3126.81,50000,3126.81,50000,0,20000
51125950200,3,51664.87,750000,25832.435,250000,5047.25,300000
51125950300,1,24737.42,80000,24737.42,80000,0,0
51540000201,1,481.21,150000,481.21,150000,0,60000
51540000302,1,0,70000,NA,70000,0,0
51540000402,2,5615.01,280000,2807.505,140000,0,112000
51540000502,7,118890.11,1631700,16984.301428571427,233100,0,116600
51540000700,2,0,400000,NA,200000,0,160000
