STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,tree_can,imp_surf,tract,cells,developed,forest,percent_dev,percent_for
51,109,950202,51109950202,9502.02,Census Tract 9502.02,59.46266428496923,1.3505984666736206,1,153392,12972,88899,8.456764368415563,57.955434442474186
51,109,950300,51109950300,9503,Census Tract 9503,56.5090665529729,1.2619431109988222,2,379968,29060,228092,7.648012464207513,60.0292656223682
51,079,030200,51079030200,302,Census Tract 302,47.86960402466732,3.4312925998052584,3,98592,15873,49954,16.099683544303797,50.66739694904252
51,079,030102,51079030102,301.02,Census Tract 301.02,69.19864640614324,0.7552142647967982,4,184398,14967,131725,8.116682393518367,71.43515656352021
51,003,011303,51003011303,113.03,Census Tract 113.03,48.205995388162954,27.061029976940816,5,6505,4070,1794,62.56725595695619,27.57878554957725
51,003,011201,51003011201,112.01,Census Tract 112.01,72.63060515892882,0.7915964165428533,6,249703,15079,181951,6.0387740635875415,72.8669659555552
51,003,011202,51003011202,112.02,Census Tract 112.02,68.84397451795196,2.1461431424703954,7,105643,10272,70307,9.723313423511259,66.55149891616104
51,003,010202,51003010202,102.02,Census Tract 102.02,54.97606727037516,1.3675802521134812,8,66478,7045,35073,10.597490899244862,52.75880742501279
51,003,010201,51003010201,102.01,Census Tract 102.01,59.637943077763246,2.517164302315244,9,78739,9804,49519,12.451263033566594,62.89005448380092
51,003,010401,51003010401,104.01,Census Tract 104.01,61.46940944512252,0.8310280724814576,10,266275,17637,162734,6.623603417519481,61.11501267486621
51,003,010402,51003010402,104.02,Census Tract 104.02,61.506375029472046,3.012713785661172,11,55137,8305,31632,15.062480729818454,57.36982425594428
51,003,011301,51003011301,113.01,Census Tract 113.01,67.37963287253548,0.5939279067691271,12,291234,15412,191384,5.291964537107618,65.71485472163278
51,003,011302,51003011302,113.02,Census Tract 113.02,61.29523522316043,24.454463208685162,13,3316,2150,1033,64.83715319662244,31.15199034981906
51,540,001000,51540001000,10,Census Tract 10,24.294483616756533,57.754873496474495,14,2411,2335,72,96.84778100373289,2.9863127333056823
51,109,950201,51109950201,9502.01,Census Tract 9502.01,55.55104832447285,1.3597455349142826,15,167410,13688,103139,8.17633355235649,61.6086255301356
51,125,950200,51125950200,9502,Census Tract 9502,78.27371044087458,1.0585611782331894,16,259643,23059,203014,8.881040505617328,78.189668121228
51,125,950100,51125950100,9501,Census Tract 9501,76.19516174639388,0.7027252497896831,17,569379,29959,421907,5.26169739312479,74.09950138659838
51,125,950300,51125950300,9503,Census Tract 9503,74.95332056337189,0.6039837052304573,18,535632,26482,410943,4.9440660752158205,76.72114436777488
51,540,000201,51540000201,2.01,Census Tract 2.01,32.76820208023774,42.66939078751857,19,1346,1259,50,93.53640416047548,3.7147102526002973
51,079,030101,51079030101,301.01,Census Tract 301.01,67.35107385753491,0.8132084476792744,20,167620,12197,113476,7.276577973988784,67.69836535019688
51,540,000502,51540000502,5.02,Census Tract 5.02,59.825629022820365,25.59918080748976,21,3418,2681,724,78.43768285547104,21.18197776477472
51,065,020300,51065020300,203,Census Tract 203,65.79588702767184,0.5678959659940525,22,297595,16943,196351,5.693308019287959,65.97926712478368
51,065,020200,51065020200,202,Census Tract 202,61.53651789482352,0.5224573087255923,23,388604,18632,266306,4.7945980998651585,68.528888019680707
51,003,010902,51003010902,109.02,Census Tract 109.02,71.46157094594595,19.60304054054054,24,2368,1084,1270,45.77702702702703,53.63175675675676
51,109,950100,51109950100,9501,Census Tract 9501,56.51192576309858,0.9741840340577098,25,359390,26464,207566,7.363588302401292,57.75508500514761
51,109,950500,51109950500,9505,Census Tract 9505,61.99446127147474,0.6841262311101378,26,246627,16308,153393,6.612414699120535,62.196353197338496
51,109,950400,51109950400,9504,Census Tract 9504,60.349385094997295,0.8060778634199027,27,162952,10142,103177,6.223918699985272,63.31741862634396
51,065,020102,51065020102,201.02,Census Tract 201.02,64.89841814370116,6.328987993138937,28,26235,10080,12061,38.42195540308747,45.97293691633314
51,065,020101,51065020101,201.01,Census Tract 201.01,61.97026474634771,1.580692364584907,29,125743,12736,83184,10.128595627589608,66.15398073849042
51,003,010602,51003010602,106.02,Census Tract 106.02,50.209440027068176,17.230587041109796,30,5911,3020,2012,51.09118592454745,34.03823380138725
51,003,010903,51003010903,109.03,Census Tract 109.03,17.840846366145353,55.50413983440662,31,1087,1029,30,94.66421343146274,2.7598896044158234
51,003,010300,51003010300,103,Census Tract 103,57.39112375107585,11.503424016764585,32,26723,9164,13239,34.29255697339371,49.54159338397635
51,003,010700,51003010700,107,Census Tract 107,29.623876404494382,54.08679775280899,33,3560,3304,242,92.80898876404494,6.797752808988763
51,003,010500,51003010500,105,Census Tract 105,63.737086578423494,9.375475849544232,34,28633,7738,16143,27.02476163866867,56.37900324800056
51,003,011000,51003011000,110,Census Tract 110,66.04177071243508,2.656045205688226,35,85299,14793,50986,17.34252453135441,59.773268150857575
51,003,011400,51003011400,114,Census Tract 114,67.93056206683407,0.5483936468501502,36,334889,16216,227628,4.842201445852208,67.97117850989433
51,003,010100,51003010100,101,Census Tract 101,71.90351522391596,0.44644972750967554,37,405152,18249,303296,4.504235447437011,74.85980570255114
51,003,011100,51003011100,111,Census Tract 111,47.54825962670254,7.373633764923491,38,47576,12079,19745,25.388851521775685,41.502017824113
51,003,010800,51003010800,108,Census Tract 108,59.78754555335337,12.840099737868423,39,15641,5408,7849,34.575794386548175,50.182213413464616
51,003,010901,51003010901,109.01,Census Tract 109.01,33.77119146413752,39.62181387077653,40,1687,1423,230,84.35091879075281,13.633669235328986
51,540,000202,51540000202,2.02,Census Tract 2.02,11.580131208997189,63.407685098406745,41,1067,1065,0,99.81255857544518,0
51,540,000302,51540000302,3.02,Census Tract 3.02,25.910211267605632,41.60827464788732,42,2272,1967,209,86.57570422535211,9.198943661971832
51,540,000401,51540000401,4.01,Census Tract 4.01,34.10494169905608,40.1388117712382,43,1801,1573,173,87.34036646307607,9.60577456968351
51,540,000501,51540000501,5.01,Census Tract 5.01,34.684363636363635,41.48218181818182,44,1375,1316,31,95.7090909090909,2.2545454545454544
51,540,000402,51540000402,4.02,Census Tract 4.02,22.95313921747043,46.93903548680619,45,2198,2084,59,94.81346678798907,2.684258416742493
51,540,000600,51540000600,6,Census Tract 6,33.04271123491179,50.255338904363974,46,1077,1041,35,96.65738161559888,3.2497678737233056
51,540,000700,51540000700,7,Census Tract 7,53.0494956603331,32.93619516772226,47,4263,4031,218,94.5578231292517,5.1137696457893504
51,540,000800,51540000800,8,Census Tract 8,47.618779749026395,35.06945045434877,48,4622,3935,632,85.1363046300303,13.67373431414972
51,540,000900,51540000900,9,Census Tract 9,39.401463811330984,23.053944158308486,49,3689,2763,530,74.89834643534833,14.36703713743562
51,003,010601,51003010601,106.01,Census Tract 106.01,44.70170342004489,28.549980192790176,50,7573,5081,1731,67.09362207843655,22.85752013732999
