censusTract,n,sumAmountPaidOnBuildingClaim,sumAmountPaidOnContentsClaim,sumBuildingInsuranceCoverage,sumContentsInsuranceCoverage,totalInsuranceCoverage,totalAmountPaid
51001090100,115,757680.99,60768.61,16846900,2394500,19241400,818449.6
51001090200,8,50218.01,13227.880000000001,1335500,278900,1614400,63445.89
51001090300,65,1798416.34,84571.76,8568100,1173600,9741700,1882988.1
51001090400,6,12172.81,5000,1277000,255000,1532000,17172.809999999998
51001090500,28,722831.31,105843.11,3801800,341200,4143000,828674.42
51001090600,128,2192158.96,158448.76,21416400,3847700,25264100,2350607.7199999997
51001090700,21,172585.07,28982.74,4284500,1162800,5447300,201567.81
51001090800,7,74501.02,33703.590000000004,853800,261500,1115300,108204.61000000002
51131930100,14,104752.34,541.82,1059000,230700,1289700,105294.16
51131930200,4,90513.86,2177.39,332000,80600,412600,92691.25
51131930300,12,203543.75,19829.34,2469900,603800,3073700,223373.09
