"locationname","countyname","totalpopulation","Coronary_Heart_Disease2018","Binge_Drinking2018","Mental_Health2018","High_Blood_Pressure2017","Physical_Inactivity2018","Diabetes2018","Current_Smoking2018","Cancer_except_skin2018","Current_Asthma2018","Dental_Visit2018","High_Cholesterol2017","COPD2018","Obesity2018","Physical_Health2018","Health_Insurance2018","less_than_sevenhr_sleep2018","Annual_Checkup2018"
"51001090300","Accomack","2335","10.3","14.4","16.9","41.2","34.6","16.1","26.2","7.8","10.8","56.8","40.3","11.9","40.5","18.4","21","40","79.4"
"51001090500","Accomack","2849","8.9","14.9","16.3","38.9","33.7","15.3","24.5","7.2","10.7","57.4","37.4","10.3","40.5","17","22.6","40.7","79.2"
"51001090700","Accomack","4907","8.6","14","14","40.5","29.3","15","20.3","8.1","10.3","64.9","38.4","9.2","38.7","15","16.8","39.1","82.1"
"51001090600","Accomack","4401","9.7","13.6","13.1","41.1","28.2","14.8","18.5","9.5","9.7","67.5","41","9.9","36.3","15.2","14.3","35.9","82.3"
"51001090400","Accomack","6234","9.5","13.8","17.5","41.4","37.4","17.3","25.8","6.6","11.2","51.7","37.4","10.8","43.5","18.5","27.7","42.7","79.5"
"51001090100","Accomack","2941","9.4","14.9","12.5","38.4","25.8","13","17.7","9.8","9.2","70.8","41.2","9.4","33.4","13.9","13.3","33.5","81.1"
"51001090200","Accomack","6156","8.4","14.8","14.6","40","29.7","14.6","21.7","7.6","10.3","63.3","38.4","9.2","38.5","15.1","17.4","39.1","80.7"
"51001090800","Accomack","3336","10.7","12.5","17.6","44","37.6","19.5","26.9","7.5","11.6","52.4","39.8","12.4","45.2","20.1","22.5","42.8","81.5"
"51131930200","Northampton","3820","9.1","13.8","13.8","41.5","29.4","15.4","19.4","7.9","10","63.5","38.5","9.1","43.5","15.4","17.8","40.1","82"
"51131930300","Northampton","4193","9.4","13.5","13.8","42.8","29.4","15.4","19.3","8.5","10.3","64.9","40.3","9.7","42","15.7","16.9","38.7","82.3"
"51131930100","Northampton","4376","11.3","12.2","15","44","34.2","17.9","21.9","9.1","10.8","59.5","41","11.9","44","18.5","19.2","39.8","82.9"
