STATEFP,COUNTYFP,NAME,GEOID,NAMELSAD,Year,June,July,August,JuneF,JulyF,AugustF,NAMES,Totpcp,Totpcpinch
51,003,Albemarle,51003,Albemarle County,1980,28.12,31.72,31.3,82.61,89.09,88.34,Albemarle,918.79,36.17
51,065,Fluvanna,51065,Fluvanna County,1980,28.89,32.38,32.32,84,90.28,90.18,Fluvanna,855.22,33.67
51,079,Greene,51079,Greene County,1980,27.14,30.73,30.01,80.85,87.31,86.02,Greene,940,37.01
51,109,Louisa,51109,Louisa County,1980,28.7,32.22,32.18,83.66,89.99,89.93,Louisa,880.95,34.68
51,125,Nelson,51125,Nelson County,1980,27.93,31.68,31.52,82.28,89.02,88.73,Nelson,960.7,37.82
51,540,Charlottesville,51540,Charlottesville city,1980,28.7,32.25,31.81,83.66,90.05,89.27,Charlottesville,893.86,35.19
51,003,Albemarle,51003,Albemarle County,1990,28.41,30.73,28.18,83.13,87.31,82.72,Albemarle,1228.38,48.36
51,065,Fluvanna,51065,Fluvanna County,1990,28.97,31.14,28.88,84.14,88.05,83.98,Fluvanna,1132.97,44.6
51,079,Greene,51079,Greene County,1990,27.84,30.12,27.51,82.12,86.22,81.51,Greene,1181.96,46.53
51,109,Louisa,51109,Louisa County,1990,29.19,31.19,28.72,84.55,88.15,83.69,Louisa,1129.15,44.45
51,125,Nelson,51125,Nelson County,1990,28.33,30.33,28.31,83,86.59,82.95,Nelson,1292.92,50.9
51,540,Charlottesville,51540,Charlottesville city,1990,28.85,31.11,28.47,83.93,88,83.25,Charlottesville,1232.17,48.51
51,003,Albemarle,51003,Albemarle County,2000,28.59,28,28.14,83.46,82.4,82.64,Albemarle,994.74,39.16
51,065,Fluvanna,51065,Fluvanna County,2000,29.39,28.89,29.21,84.9,84.01,84.58,Fluvanna,933.16,36.74
51,079,Greene,51079,Greene County,2000,27.7,27.12,27.06,81.86,80.81,80.71,Greene,1012.38,39.86
51,109,Louisa,51109,Louisa County,2000,28.98,28.45,28.76,84.16,83.2,83.77,Louisa,972.41,38.28
51,125,Nelson,51125,Nelson County,2000,28.72,28.01,28.18,83.69,82.41,82.72,Nelson,1027.73,40.46
51,540,Charlottesville,51540,Charlottesville city,2000,28.94,28.36,28.64,84.09,83.05,83.55,Charlottesville,956.51,37.66
51,003,Albemarle,51003,Albemarle County,2010,30.77,32.42,30.15,87.38,90.35,86.26,Albemarle,1055.87,41.57
51,065,Fluvanna,51065,Fluvanna County,2010,31.47,33.21,30.82,88.65,91.77,87.47,Fluvanna,987.95,38.9
51,079,Greene,51079,Greene County,2010,30.34,32.13,29.81,86.61,89.83,85.67,Greene,1075.3,42.33
51,109,Louisa,51109,Louisa County,2010,31.59,33.4,31.06,88.86,92.11,87.91,Louisa,1035.8,40.78
51,125,Nelson,51125,Nelson County,2010,30.42,32.01,29.63,86.76,89.61,85.34,Nelson,1203.89,47.4
51,540,Charlottesville,51540,Charlottesville city,2010,31.1,32.71,30.49,87.97,90.88,86.88,Charlottesville,961.05,37.84
51,003,Albemarle,51003,Albemarle County,2020,27.96,32.25,28.86,82.32,90.05,83.95,Albemarle,1607.59,63.29
51,065,Fluvanna,51065,Fluvanna County,2020,28.55,33,29.32,83.4,91.4,84.78,Fluvanna,1579.32,62.18
51,079,Greene,51079,Greene County,2020,27.78,32.08,28.75,82,89.74,83.76,Greene,1584.59,62.39
51,109,Louisa,51109,Louisa County,2020,28.85,33.35,29.61,83.93,92.03,85.3,Louisa,1695.48,66.75
51,125,Nelson,51125,Nelson County,2020,27.63,32,28.69,81.74,89.6,83.65,Nelson,1724.87,67.91
51,540,Charlottesville,51540,Charlottesville city,2020,28.19,32.45,29.02,82.74,90.41,84.24,Charlottesville,1523.23,59.97
