Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,ObjectId
Food Lion 2189,11010 Kentucky Springs Rd,NA,Mineral,VA,23117,NA,LOUISA,-77.850929,38.079636,3865
Food Lion 1186,585 Branchlands Blvd,NA,Charlottesville,VA,22901,1791,ALBEMARLE,-78.478973,38.072906,5100
Kroger 239,1904 Emmet St N,NA,Charlottesville,VA,22901,2815,ALBEMARLE,-78.492554,38.060581,14370
Food Lion 1531,85 Callohill Dr,NA,Lovingston,VA,22949,9701,NELSON,-78.877434,37.753792,14947
Whole Foods Market 10205,1797 Hydraulic Rd,NA,Charlottesville,VA,22901,2835,ALBEMARLE,-78.490173,38.060059,16439
REID SUPER SAVE MKT 3,600 Preston Ave,NA,Charlottesville,VA,22903,4538,CHARLOTTESVILLE,-78.485916,38.035106999999996,16572
Hilltop Produce And Seafood,78 Zion Park Ct,NA,Troy,VA,22974,2814,FLUVANNA,-78.213531,37.966541,20700
El Tio Variedades Internacionales,259 Ridge Mcintire Rd,NA,Charlottesville,VA,22903,5043,CHARLOTTESVILLE,-78.48494,38.031902,23469
Food Depot 609,502 E Main St,NA,Louisa,VA,23093,4100,LOUISA,-77.990334,38.019463,40223
Food Lion 864,1740 Timberwood Blvd,NA,Charlottesville,VA,22911,7593,ALBEMARLE,-78.437149,38.128872,41156
African Market Place Llc,1901 Commonwealth Dr,NA,Charlottesville,VA,22901,2338,ALBEMARLE,-78.496292,38.066753,56384
Trader Joes 661,2025 Bond St,NA,Charlottesville,VA,22901,NA,ALBEMARLE,-78.491112,38.064308,57901
Rebeccas Natural Food,1141 Emmet St N,NA,Charlottesville,VA,22903,4837,CHARLOTTESVILLE,-78.500145,38.051945,60008
Food Lion 253,570 RIVERBEND DR.,NA,CHARLOTTESVILLE,VA,22902,NA,CHARLOTTESVILLE,-78.456367,38.030945,60286
Food Lion 238,1131 5th St SW,NA,Charlottesville,VA,22902,6464,CHARLOTTESVILLE,-78.501701,38.013115,60332
Millers Market,628 Mineral Ave,NA,Mineral,VA,23117,4011,LOUISA,-77.908485,38.004688,63367
HARRIS TEETER 132,159 Community St,NA,Charlottesville,VA,22911,5602,ALBEMARLE,-78.442902,38.127724,69555
INTEGRAL YOGA NAT. FOODS,923 Preston Ave,Ste H,Charlottesville,VA,22903,4446,CHARLOTTESVILLE,-78.490097,38.038284,74205
Food Lion 959,264 Turkey Sag Trail,NA,Palmyra,VA,22963,NA,FLUVANNA,-78.342216,37.90432,74960
GREENE GREAT VALU INC,8271 Spotswood Trl,NA,Stanardsville,VA,22973,2848,GREENE,-78.443504,38.297253,76251
Asian Market,1417 Emmet St N,NA,Charlottesville,VA,22903,4874,CHARLOTTESVILLE,-78.496544,38.056114,90944
ALDI 80041,100 Albermarle Square,NA,Charlottesville,VA,22901,NA,ALBEMARLE,-78.471802,38.080936,105635
KROGER  359,1159 Emmet St N,NA,Charlottesville,VA,22903,4837,CHARLOTTESVILLE,-78.49987,38.052189,109810
Hilltop Grocery,2808 Hydraulic Rd,NA,Charlottesville,VA,22901,2917,ALBEMARLE,-78.497513,38.076183,110252
Medina Market,620 Albemarle Sq,NA,Charlottesville,VA,22901,7406,ALBEMARLE,-78.471581,38.083836,114247
Food Lion 2697,198 Scottsville Ctr,NA,Scottsville,VA,24590,3992,ALBEMARLE,-78.50267,37.808575,118546
Food Lion 940,136 Cedar Grove Rd,NA,Ruckersville,VA,22968,3603,GREENE,-78.387741,38.208321,122467
Food Lion 484,501 East Main St,NA,Louisa,VA,23093,4133,LOUISA,-77.992729,38.019989,122962
Harris Teeter 177,975 Emmet St,Space 8,Charlottesville,VA,22903,NA,CHARLOTTESVILLE,-78.504387,38.050282,123352
Harris Teeter 332,545 Radford Ln,NA,Charlottesville,VA,22903,NA,CHARLOTTESVILLE,-78.682686,38.051456,130713
Target Stores 1858,3290 Seminole Trl,NA,Charlottesville,VA,22911,5634,ALBEMARLE,-78.440323,38.127975,136244
Blue Ridge Grocery,2797 Rockfish Valley Hwy,NA,Nellysford,VA,22958,2309,NELSON,-78.874146,37.889702,140020
Nx Gen Retail Inc,13338 S Constitution Rte,NA,Scottsville,VA,24590,6280,ALBEMARLE,-78.503624,37.718254,141326
"THOMAS INC, E W",13027 James Madison Hwy,NA,PALMYRA,VA,22963,0101,FLUVANNA,-78.269005,37.855503,141798
Caul's Grocery,4530 Monacan Trail Rd,NA,North Garden,VA,22959,2215,ALBEMARLE,-78.681305,37.921993,148833
La Guadalupana,221 Carlton Rd,Ste 15,Charlottesville,VA,22902,5983,CHARLOTTESVILLE,-78.46936,38.023621,149334
Food Lion 1536,32 Mill Creek Dr,NA,Charlottesville,VA,22902,8718,CHARLOTTESVILLE,-78.49675,38.000114,154059
MERCADO WORLD FOODS,900 Gardens Blvd,Ste 300,Charlottesville,VA,22901,1469,ALBEMARLE,-78.470573,38.083839,158487
C'ville Oriental,1195 Seminole Trl,NA,Charlottesville,VA,22901,2828,ALBEMARLE,-78.4851,38.069069,159337
Walmart Supercenter 4638,135 Stoneridge Dr,NA,Ruckersville,VA,22968,3088,GREENE,-78.370476,38.23597,165032
Indian Bazar,722 Rio Rd W,Ste 1,Charlottesville,VA,22901,1454,ALBEMARLE,-78.475006,38.083244,167568
GIANT FOOD 251,1900 Abbey Rd,NA,Charlottesville,VA,22911,3543,ALBEMARLE,-78.445396,38.030239,186687
Walmart Supercenter 1780,975 Hilltop Heights Rd,NA,Charlottesville,VA,22901,NA,ALBEMARLE,-78.493713,38.07021,188320
Kroger 334,1980 Rio Hill Ctr,NA,Charlottesville,VA,22901,1144,ALBEMARLE,-78.473373,38.089115,213171
Charlottesville Latino Market,380 Greenbrier Dr,Ste D,Charlottesville,VA,22901,1655,ALBEMARLE,-78.485283,38.070778,225335
Lidl 1500,750 Twentyninght Place Court,NA,Charlottesville,VA,22901,NA,ALBEMARLE,-78.479065,38.078098,227528
D'amores Market,4814 Broad Street Rd,NA,Louisa,VA,23093,2204,LOUISA,-77.998222,37.844482,228497
Crozet Great Valu,5728 Three Notched Rd,NA,Crozet,VA,22932,3107,ALBEMARLE,-78.698532,38.069263,230124
Wegmans 127,100 Wegmans Way,NA,Charlottesville,VA,22902,6507,CHARLOTTESVILLE,-78.501923,38.009186,232820
Express Grocery Stores. ,198 Zan Rd,NA,Charlottesville,VA,22901,2857,ALBEMARLE,-78.488266,38.063454,241433
