Store_Name,Address,Address_Line__2,City,State,Zip5,Zip4,County,ObjectId,geometry
Food Lion 1361,2105 Academy Rd,NA,Powhatan,VA,23139,NA,POWHATAN,67233,"c(-77.884277, 37.538269)"
Food Lion 1298,408 Gordon Plaza,NA,Gordonsville,VA,22942,NA,ORANGE,68526,"c(-78.205513, 38.13245)"
SHARP SHOPPER,2475 S Main St,Ste A,Harrisonburg,VA,22801,7601,HARRISONBURG,68875,"c(-78.895493, 38.418591)"
HARRIS TEETER 132,159 Community St,NA,Charlottesville,VA,22911,5602,ALBEMARLE,69528,"c(-78.442902, 38.127724)"
Martins Food Market 6285,437 Tiffany Dr,NA,Waynesboro,VA,22980,NA,WAYNESBORO,73772,"c(-78.930183, 38.065422)"
Walmart Supercenter 1344,1028 Richmond Ave,Ste C,Staunton,VA,24401,4901,STAUNTON,74096,"c(-79.044891, 38.136009)"
INTEGRAL YOGA NAT. FOODS,923 Preston Ave,Ste H,Charlottesville,VA,22903,4446,CHARLOTTESVILLE,74206,"c(-78.490097, 38.038284)"
Food Lion 959,264 Turkey Sag Trail,NA,Palmyra,VA,22963,NA,FLUVANNA,74499,"c(-78.342216, 37.90432)"
Harrisonburg Halal Market And Sweets Llc,182 Neff Ave,Ste W5,Harrisonburg,VA,22801,3488,HARRISONBURG,75346,"c(-78.845627, 38.426266)"
GREENE GREAT VALU INC,8271 Spotswood Trl,NA,Stanardsville,VA,22973,2848,GREENE,76016,"c(-78.443504, 38.297253)"
Food Lion 2617,85 S Carlton St,NA,Harrisonburg,VA,22801,4324,HARRISONBURG,77195,"c(-78.857468, 38.442825)"
FINDERS KEEPERS,44 Waterman Dr,NA,Harrisonburg,VA,22802,2110,HARRISONBURG,85444,"c(-78.883202, 38.452614)"
TARGET STORE 2071,1995 E Market St,NA,Harrisonburg,VA,22801,3433,HARRISONBURG,85713,"c(-78.840469, 38.426865)"
La Bendicion International Market,1903 S Main St,NA,Harrisonburg,VA,22801,5726,HARRISONBURG,89867,"c(-78.890503, 38.423649)"
Asian Market,1417 Emmet St N,NA,Charlottesville,VA,22903,4874,CHARLOTTESVILLE,90433,"c(-78.496544, 38.056114)"
Martins Food Market 6426,1015 Richmond Ave,NA,Staunton,VA,24401,4905,STAUNTON,92410,"c(-79.047897, 38.138535)"
Martins Food Market 6424,2035 E Market St,Ste 115,Harrisonburg,VA,22801,8881,HARRISONBURG,100470,"c(-78.841492, 38.424294)"
Weis Market 305,505 Meadowbrook Shopping Ctr,NA,Culpeper,VA,22701,3956,CULPEPER,101496,"c(-78.012108, 38.459141)"
Sharp Shopper,2800 W Main St,NA,Waynesboro,VA,22980,1620,WAYNESBORO,101835,"c(-78.928795, 38.082066)"
Target Stores 2294,811 Town Center Dr,NA,Waynesboro,VA,22980,9262,WAYNESBORO,105467,"c(-78.943314, 38.057007)"
Food Lion 2696,30 Windward Dr Ste 102,NA,Fishersville,VA,22939,2167,AUGUSTA,105687,"c(-78.978477, 38.106438)"
ALDI 80041,100 Albermarle Square,NA,Charlottesville,VA,22901,NA,ALBEMARLE,105782,"c(-78.471802, 38.080936)"
KROGER  359,1159 Emmet St N,NA,Charlottesville,VA,22903,4837,CHARLOTTESVILLE,109782,"c(-78.49987, 38.052189)"
Hilltop Grocery,2808 Hydraulic Rd,NA,Charlottesville,VA,22901,2917,ALBEMARLE,110411,"c(-78.497513, 38.076183)"
Walgreens 10923,412 E Main St,NA,Louisa,VA,23093,6518,LOUISA,113008,"c(-77.995384, 38.020374)"
H Mart,1500 S Main St,NA,Harrisonburg,VA,22801,2925,HARRISONBURG,113113,"c(-78.883217, 38.431244)"
Medina Market,620 Albemarle Sq,NA,Charlottesville,VA,22901,7406,ALBEMARLE,114700,"c(-78.471581, 38.083836)"
Stuarts Draft Farm Market,2964 Stuarts Draft Hwy,NA,Stuarts Draft,VA,24477,2782,AUGUSTA,117814,"c(-79.022606, 38.039108)"
Food Lion 2697,198 Scottsville Ctr,NA,Scottsville,VA,24590,3992,ALBEMARLE,119598,"c(-78.50267, 37.808575)"
ORIENTAL FOOD MARKET,911 S High St,NA,Harrisonburg,VA,22801,1601,HARRISONBURG,119897,"c(-78.885078, 38.440598)"
Food Lion 484,501 East Main St,NA,Louisa,VA,23093,4133,LOUISA,122069,"c(-77.992729, 38.019989)"
Food Lion 940,136 Cedar Grove Rd,NA,Ruckersville,VA,22968,3603,GREENE,122319,"c(-78.387741, 38.208321)"
ROSE HILL MARKET,633 1/2 Rose Hill Dr,NA,Charlottesville,VA,22903,5235,CHARLOTTESVILLE,123259,"c(-78.487839, 38.037769)"
Harris Teeter 177,975 Emmet St,Space 8,Charlottesville,VA,22903,NA,CHARLOTTESVILLE,123772,"c(-78.504387, 38.050282)"
Walgreens 09417,3489 Seminole Trl,NA,Charlottesville,VA,22911,5637,ALBEMARLE,124472,"c(-78.435829, 38.131599)"
Walmart Neighborhood Market 4388,1211 W Broad St,NA,Waynesboro,VA,22980,4326,WAYNESBORO,128735,"c(-78.894608, 38.071415)"
Food Lion 1402,577 N Madison Rd,#15,Orange,VA,22960,NA,ORANGE,128929,"c(-78.113785, 38.257191)"
Harris Teeter 332,545 Radford Ln,NA,Charlottesville,VA,22903,NA,CHARLOTTESVILLE,130390,"c(-78.682686, 38.051456)"
Walgreens 17883,101 Rosser Ave,NA,Waynesboro,VA,22980,3510,WAYNESBORO,131450,"c(-78.902245, 38.072376)"
Walgreens 19660,2596 Tinkling Spring Rd,NA,Stuarts Draft,VA,24477,2797,AUGUSTA,131572,"c(-79.035103, 38.037079)"
Walgreens 18425,599 Mount Clinton Pike,NA,Harrisonburg,VA,22802,2500,HARRISONBURG,131682,"c(-78.871391, 38.468494)"
Walgreens 17626,314 Rolkin Rd,NA,Charlottesville,VA,22911,3556,ALBEMARLE,131687,"c(-78.442764, 38.030846)"
Target Stores 1858,3290 Seminole Trl,NA,Charlottesville,VA,22911,5634,ALBEMARLE,136434,"c(-78.440323, 38.127975)"
Market Street Market,400 E Market St,NA,Charlottesville,VA,22902,5214,CHARLOTTESVILLE,136770,"c(-78.478851, 38.030781)"
Walgreens 17535,14813 Spotswood Trl,NA,Elkton,VA,22827,3024,ROCKINGHAM,139569,"c(-78.651337, 38.405621)"
Walgreens 17547,590 Madison Rd,NA,Culpeper,VA,22701,3374,CULPEPER,139611,"c(-78.012909, 38.459526)"
Walgreens 17607,501 N Coalter St,NA,Staunton,VA,24401,3402,STAUNTON,139612,"c(-79.063354, 38.15789)"
Blue Ridge Grocery,2797 Rockfish Valley Hwy,NA,Nellysford,VA,22958,2309,NELSON,141120,"c(-78.874146, 37.889702)"
"THOMAS INC, E W",13027 James Madison Hwy,NA,PALMYRA,VA,22963,0101,FLUVANNA,141588,"c(-78.269005, 37.855503)"
Sinbad,2189 S Main St,NA,Harrisonburg,VA,22801,2683,HARRISONBURG,141852,"c(-78.893623, 38.422596)"
La Confianza Tienda Latina,288 N Main St,NA,Harrisonburg,VA,22802,3821,HARRISONBURG,146000,"c(-78.867821, 38.452232)"
KEYSTONE GROCERY,14008 W Catharpin Rd,NA,Spotsylvania,VA,22551,5328,SPOTSYLVANIA,148274,"c(-77.820076, 38.219093)"
Food Lion 1576,Highway 20 BUCKINGHAM PLAZA,NA,DILLWYN,VA,23936,NA,BUCKINGHAM,148498,"c(-78.474983, 37.542171)"
Caul's Grocery,4530 Monacan Trail Rd,NA,North Garden,VA,22959,2215,ALBEMARLE,148773,"c(-78.681305, 37.921993)"
Food Lion 1536,32 Mill Creek Dr,NA,Charlottesville,VA,22902,8718,CHARLOTTESVILLE,154459,"c(-78.49675, 38.000114)"
Walmart Supercenter 4682,164 Camp Creek Pkwy,NA,Gordonsville,VA,22942,6878,ORANGE,157070,"c(-78.208679, 37.979435)"
MERCADO WORLD FOODS,900 Gardens Blvd,Ste 300,Charlottesville,VA,22901,1469,ALBEMARLE,158850,"c(-78.470573, 38.083839)"
C'ville Oriental,1195 Seminole Trl,NA,Charlottesville,VA,22901,2828,ALBEMARLE,159801,"c(-78.4851, 38.069069)"
Walmart Neighborhood Market 7177,1942 Port Republic Rd,NA,Rockingham,VA,22801,3532,HARRISONBURG,163447,"c(-78.862907, 38.404884)"
Walmart Supercenter 4638,135 Stoneridge Dr,NA,Ruckersville,VA,22968,3088,GREENE,165062,"c(-78.370476, 38.23597)"
The Ole Country Store and Bakery,18019 Country Store Dr,NA,Culpeper,VA,22701,8019,CULPEPER,165121,"c(-78.03643, 38.456902)"
Yoder's Country Market Inc.,2105 S Seminole Trl,NA,Madison,VA,22727,2851,MADISON,165580,"c(-78.277504, 38.354935)"
Village Market,1805 East Side Hwy,Ste 103,Crimora,VA,24431,9998,AUGUSTA,167068,"c(-78.840843, 38.152309)"
Indian Bazar,722 Rio Rd W,Ste 1,Charlottesville,VA,22901,1454,ALBEMARLE,167325,"c(-78.475006, 38.083244)"
Aldi 156,113 George Cochran Pkwy,NA,Staunton,VA,24401,9172,STAUNTON,168667,"c(-79.102005, 38.163643)"
Dona Fer Grocery Store,1060 Virginia Ave,NA,Harrisonburg,VA,22802,2533,HARRISONBURG,178805,"c(-78.869614, 38.46302)"
Food Lion 2567,46 Madison Plaza Dr,NA,Madison,VA,22727,3049,MADISON,184248,"c(-78.270706, 38.365833)"
Walmart Supercenter 5117,116 Lucy Ln,NA,Waynesboro,VA,22980,3275,WAYNESBORO,184667,"c(-78.935135, 38.065891)"
GIANT FOOD 251,1900 Abbey Rd,NA,Charlottesville,VA,22911,3543,ALBEMARLE,186448,"c(-78.445396, 38.030239)"
Walmart Supercenter 1780,975 Hilltop Heights Rd,NA,Charlottesville,VA,22901,NA,ALBEMARLE,188625,"c(-78.493713, 38.07021)"
Walmart 1726,171 Burgess Rd,NA,Harrisonburg,VA,22801,3704,HARRISONBURG,189642,"c(-78.84948, 38.43314)"
Food Lion 2542,83 Augusta Ave,NA,Grottoes,VA,24441,2507,ROCKINGHAM,190195,"c(-78.822044, 38.256554)"
Food Lion 596,14811 Spotswood Trl,NA,Elkton,VA,22827,3024,ROCKINGHAM,192586,"c(-78.651352, 38.405613)"
Food Lion 132,2411 W Beverley St,NA,Staunton,VA,24401,2905,STAUNTON,199941,"c(-79.106621, 38.154198)"
Food Lion 2600,2724 Fairground Rd,NA,Goochland,VA,23063,3103,GOOCHLAND,202233,"c(-77.885086, 37.697834)"
BELMONT MARKET,834 Monticello Rd,NA,Charlottesville,VA,22902,5762,CHARLOTTESVILLE,202565,"c(-78.473808, 38.023712)"
Food Lion 754,990 Hopeman Pkwy,NA,Waynesboro,VA,22980,NA,WAYNESBORO,202981,"c(-78.884399, 38.086685)"
Mira Patel Llc NA,23 Scenic Hwy,NA,Churchville,VA,24421,2400,AUGUSTA,205197,"c(-79.168472, 38.230701)"
Food Lion 438,2576 Stuarts Draft Hwy,Ste 106,Stuarts Draft,VA,24477,3190,AUGUSTA,205491,"c(-79.03875, 38.033268)"
Food Lion 497,11 Orchard Rd,NA,Staunton,VA,24401,5533,STAUNTON,209038,"c(-79.072006, 38.117592)"
Food Lion 266,1751 S High St,NA,Harrisonburg,VA,22801,1553,HARRISONBURG,212415,"c(-78.900871, 38.432877)"
Kroger 343,850 Statler Blvd,NA,Staunton,VA,24401,4885,STAUNTON,212439,"c(-79.066505, 38.139065)"
KROGER STORE 228,245 Arch Ave,NA,Waynesboro,VA,22980,4658,WAYNESBORO,212475,"c(-78.887665, 38.066017)"
Kroger 334,1980 Rio Hill Ctr,NA,Charlottesville,VA,22901,1144,ALBEMARLE,213330,"c(-78.473373, 38.089115)"
Aldi 158,1900 Country Club Rd,NA,Harrisonburg,VA,22802,8840,HARRISONBURG,215726,"c(-78.839539, 38.43306)"
Goochland Supermarket,5260 River Rd W,NA,Goochland,VA,23063,2822,GOOCHLAND,218351,"c(-78.053757, 37.735668)"
Charlottesville Latino Market,380 Greenbrier Dr,Ste D,Charlottesville,VA,22901,1655,ALBEMARLE,225620,"c(-78.485283, 38.070778)"
Aldi 55,841 Shenandoah Village Dr,NA,Waynesboro,VA,22980,NA,WAYNESBORO,226132,"c(-78.937241, 38.054516)"
Lidl 1500,750 Twentyninght Place Court,NA,Charlottesville,VA,22901,NA,ALBEMARLE,226820,"c(-78.479065, 38.078098)"
D'amores Market,4814 Broad Street Rd,NA,Louisa,VA,23093,2204,LOUISA,228289,"c(-77.998222, 37.844482)"
Crozet Great Valu,5728 Three Notched Rd,NA,Crozet,VA,22932,3107,ALBEMARLE,229753,"c(-78.698532, 38.069263)"
Wegmans 127,100 Wegmans Way,NA,Charlottesville,VA,22902,6507,CHARLOTTESVILLE,232462,"c(-78.501923, 38.009186)"
"Sysco Virginia, LLC 7",5081 S Valley Pike,NA,Harrisonburg,VA,22801,3932,HARRISONBURG,237007,"c(-78.92424, 38.380337)"
Express Grocery Stores. ,198 Zan Rd,NA,Charlottesville,VA,22901,2857,ALBEMARLE,240136,"c(-78.488266, 38.063454)"
